dataset,max,mean,median,metric,min,n_seeds,sd,variant
a1,747.1728515625,747.1728515625,747.1728515625,gpu_peak_allocated_mib,747.1728515625,5,0.0,DROP_CORR2
a1,780.0,780.0,780.0,gpu_peak_reserved_mib,780.0,5,0.0,DROP_CORR2
a1,1365.0078125,1365.0078125,1365.0078125,cpu_peak_rss_mib,1365.0078125,5,0.0,DROP_CORR2
a1,0.2660798666030176,0.2520146165791296,0.2512421094935592,ari,0.23739130376486084,5,0.010315535003509003,UNIFORM_WITHIN
a1,0.3936452058862866,0.37988260033274046,0.38031035157131904,nmi,0.3667839724564453,5,0.009635357245474175,UNIFORM_WITHIN
a1,0.3897258566096051,0.3758905656547345,0.37632084677702393,ami,0.3627257442456725,5,0.009688384207548209,UNIFORM_WITHIN
a1,0.40749976518116854,0.3933113252544428,0.3913745571770409,fmi,0.3796221128254208,5,0.010112644383504133,UNIFORM_WITHIN
a1,0.4422230117900292,0.42787116692576105,0.4280998381868309,homogeneity,0.4153239388979009,5,0.01038170673880557,UNIFORM_WITHIN
a1,0.3936452058862866,0.3798826003327404,0.38031035157131904,v_measure,0.36678397245644523,5,0.009635357245474194,UNIFORM_WITHIN
a1,0.36445382933552056,0.351584550943124,0.34944877709522426,hungarian_macro_f1,0.33934585394410505,5,0.009291244505957256,UNIFORM_WITHIN
a1,0.5389077461303399,0.5287302703700847,0.5288720227442547,hungarian_weighted_f1,0.5164266145316576,5,0.008362353754210189,UNIFORM_WITHIN
a1,0.4682199256977718,0.43226441715035635,0.44252868242317805,hungarian_balanced_accuracy,0.392095269986383,5,0.03778788855060525,UNIFORM_WITHIN
a1,0.5792830718203853,0.5695752009184846,0.5681847174384488,spatial_neighbor_agreement,0.5627312157162904,5,0.006293944378032713,UNIFORM_WITHIN
a1,0.49412458759749434,0.4743719253007493,0.46867565261303135,spatial_cluster_moran_mean,0.4636668492071082,5,0.012581811620682656,UNIFORM_WITHIN
a1,0.54695113693804,0.5343301719817497,0.5398187004553049,spatial_cluster_geary_mean,0.5146602115222173,5,0.013549509667189107,UNIFORM_WITHIN
a1,0.43726878428370963,0.43042479908151543,0.4318152825615512,boundary_disagreement,0.4207169281796147,5,0.006293944378032713,UNIFORM_WITHIN
a1,0.16546571254730225,0.15621762871742248,0.15774652361869812,embedding_silhouette,0.1452459692955017,5,0.007700120339831658,UNIFORM_WITHIN
