dataset,variant,seed,domain,support,hungarian_f1
p22,locked_legacy_loss_replay,3,L1-L3,1023,0.7144420131291027
p22,locked_legacy_loss_replay,3,L4,304,0.0
p22,locked_legacy_loss_replay,3,L5,970,0.36126840317100795
p22,locked_legacy_loss_replay,3,L6a/b,834,0.7057613168724279
p22,locked_legacy_loss_replay,3,VL,147,0.6351706036745407
p22,locked_legacy_loss_replay,3,ccg/aco,744,0.7834757834757835
p22,locked_legacy_loss_replay,3,others,2370,0.4343042071197411
p22,locked_legacy_loss_replay,4,ACB,1111,0.5624309392265193
p22,locked_legacy_loss_replay,4,CP,1693,0.8261874197689345
p22,locked_legacy_loss_replay,4,L1-L3,1023,0.7304537998906507
p22,locked_legacy_loss_replay,4,L4,304,0.0
p22,locked_legacy_loss_replay,4,L5,970,0.3782491783686884
p22,locked_legacy_loss_replay,4,L6a/b,834,0.7058247674987763
p22,locked_legacy_loss_replay,4,VL,147,0.638961038961039
p22,locked_legacy_loss_replay,4,ccg/aco,744,0.7440318302387269
p22,locked_legacy_loss_replay,4,others,2370,0.361839863713799
p22,locked_legacy_shape_normalized,0,ACB,1111,0.5970475669764899
p22,locked_legacy_shape_normalized,0,CP,1693,0.8406096615861535
p22,locked_legacy_shape_normalized,0,L1-L3,1023,0.683066361556064
p22,locked_legacy_shape_normalized,0,L4,304,0.4270833333333333
p22,locked_legacy_shape_normalized,0,L5,970,0.0
p22,locked_legacy_shape_normalized,0,L6a/b,834,0.7166494312306102
p22,locked_legacy_shape_normalized,0,VL,147,0.06963249516441007
p22,locked_legacy_shape_normalized,0,ccg/aco,744,0.7885714285714285
p22,locked_legacy_shape_normalized,0,others,2370,0.5613452356238323
p22,locked_legacy_shape_normalized,1,ACB,1111,0.6053378762067008
p22,locked_legacy_shape_normalized,1,CP,1693,0.8298647242455777
p22,locked_legacy_shape_normalized,1,L1-L3,1023,0.7020915771622386
p22,locked_legacy_shape_normalized,1,L4,304,0.45720040281973817
p22,locked_legacy_shape_normalized,1,L5,970,0.3557823129251701
p22,locked_legacy_shape_normalized,1,L6a/b,834,0.6508078994614004
p22,locked_legacy_shape_normalized,1,VL,147,0.0
p22,locked_legacy_shape_normalized,1,ccg/aco,744,0.7937853107344633
p22,locked_legacy_shape_normalized,1,others,2370,0.36633997972287935
p22,locked_legacy_shape_normalized,2,ACB,1111,0.6123128119800333
p22,locked_legacy_shape_normalized,2,CP,1693,0.8374153204794164
p22,locked_legacy_shape_normalized,2,L1-L3,1023,0.6861768368617684
p22,locked_legacy_shape_normalized,2,L4,304,0.47374562427071176
p22,locked_legacy_shape_normalized,2,L5,970,0.0015491866769945777
p22,locked_legacy_shape_normalized,2,L6a/b,834,0.6792975970425138
p22,locked_legacy_shape_normalized,2,VL,147,0.08258064516129032
p22,locked_legacy_shape_normalized,2,ccg/aco,744,0.800580130529369
p22,locked_legacy_shape_normalized,2,others,2370,0.5680701004488138
p22,locked_legacy_shape_normalized,3,ACB,1111,0.608540925266904
p22,locked_legacy_shape_normalized,3,CP,1693,0.8364666494978109
p22,locked_legacy_shape_normalized,3,L1-L3,1023,0.7169398907103824
p22,locked_legacy_shape_normalized,3,L4,304,0.0
p22,locked_legacy_shape_normalized,3,L5,970,0.357888794806661
p22,locked_legacy_shape_normalized,3,L6a/b,834,0.7027579162410623
p22,locked_legacy_shape_normalized,3,VL,147,0.6282722513089005
p22,locked_legacy_shape_normalized,3,ccg/aco,744,0.7870967741935485
p22,locked_legacy_shape_normalized,3,others,2370,0.4265279583875162
p22,locked_legacy_shape_normalized,4,ACB,1111,0.5662251655629139
